"y","s1","s2","s3","x_exp","x1"
NA,0,0,0,0,1.25386313503391
NA,1,1,1,0,-0.00716886558925856
0,0,0,0,0,0.141046348623567
NA,0,0,1,0,-0.848793502903819
NA,0,0,0,1,1.65926301145544
0,0,0,1,1,0.0916656662507861
NA,1,1,1,0,0.948547534061692
NA,1,1,1,0,0.421163974731294
NA,1,1,1,0,1.48737426093444
NA,1,1,1,0,1.36105285453635
NA,0,0,1,0,0.891831756964757
NA,1,0,0,0,0.27946853240432
NA,0,0,0,1,-0.360074819720788
NA,1,1,1,1,0.37904138972162
NA,1,1,1,0,-0.64271528809007
NA,1,1,1,0,-0.242812538805669
NA,0,0,0,0,1.35976301171836
NA,0,0,0,0,-0.109806909296965
NA,0,0,0,0,0.981237103808468
NA,0,1,0,1,-1.49345103621493
NA,1,1,1,0,-0.344644219079385
NA,1,0,1,0,-1.46953258061859
NA,0,0,0,0,0.695712597408704
NA,0,1,0,0,-0.717965904182334
NA,1,1,1,1,1.14069097924937
NA,1,1,1,0,-1.89736433011302
NA,1,0,1,0,0.810015117901618
NA,1,1,1,0,0.336852842995316
NA,1,1,1,1,0.0427839073184472
NA,0,0,1,0,1.19729052158488
NA,1,1,1,0,2.1134159113606
NA,0,0,0,0,0.805378500829989
NA,0,0,0,0,0.164909281459032
0,0,0,0,0,-1.74805259830998
NA,1,1,0,0,-0.00216683829740564
NA,1,1,1,1,0.545029381652409
NA,0,1,0,0,-1.77855148133467
NA,0,0,0,1,0.962584637235104
NA,0,1,0,0,0.305545021308973
NA,0,0,0,0,0.959496436389868
NA,1,0,1,1,-0.558819463202642
NA,0,0,0,1,-0.696186720973792
NA,1,1,1,0,-0.285108666121101
NA,0,1,1,0,0.725728350695515
NA,1,1,1,0,2.02707724377029
NA,0,0,0,0,-0.988986407755028
NA,1,1,1,1,1.01661971589599
NA,1,1,1,0,0.716910703363013
NA,1,1,1,1,1.71790023948844
NA,0,0,0,1,-0.467735671774496
NA,0,0,0,0,-0.447441161575896
NA,1,1,0,0,0.837937997583176
NA,0,0,1,0,-0.0531624320541577
NA,1,0,0,0,0.169684979549421
NA,0,0,0,1,0.0751666522886985
NA,1,1,1,0,0.716025505199132
NA,0,0,0,0,-0.63712227258851
NA,0,1,0,1,-1.02612893120678
NA,1,0,0,0,0.352423554111803
0,0,0,0,0,0.132286453077192
1,1,1,1,0,2.40098050909218
NA,1,1,0,0,-0.242566549155176
NA,1,0,1,1,-1.60454865063174
NA,0,0,1,0,0.376598722955929
NA,0,0,0,0,0.792605188114632
NA,0,1,0,0,-0.553546225762834
NA,0,0,0,0,-1.53972673059112
NA,1,1,1,0,0.672698469143599
NA,0,0,0,0,-0.561587972579691
0,0,0,0,0,-1.23884917836148
NA,0,0,0,0,-0.278036182632989
NA,1,1,1,0,-0.0174437700490723
NA,0,0,0,1,-0.13601516220221
NA,1,1,1,0,0.251266410290567
NA,0,0,0,0,-0.873360005308517
NA,0,0,0,0,-0.32126817828398
NA,0,0,0,1,-0.414097466452375
NA,0,0,0,0,0.0465369577437819
NA,1,1,1,0,0.0866319994427851
NA,0,1,1,0,-0.872399346847961
NA,1,0,1,0,-0.799304350502586
NA,0,0,0,1,1.42628527099977
NA,1,1,1,0,0.474816530729508
NA,0,0,0,0,1.03038762715489
NA,1,1,1,0,0.0735236056495295
NA,0,1,1,0,0.377779197635784
NA,1,1,1,0,-0.813372056225229
NA,1,0,1,0,-1.49164119045833
NA,1,0,1,0,-2.14302608689264
NA,0,0,0,0,-0.332292342012519
NA,0,1,1,1,2.14308147772037
NA,0,0,0,1,-1.00431780432105
NA,0,1,1,0,-0.270758688343546
1,1,1,0,0,-0.0997938135140607
NA,0,0,1,0,0.507493318849427
NA,0,1,1,0,0.134981481448133
NA,0,1,0,0,-0.734639530660718
NA,1,0,0,1,-1.40688223748068
NA,0,0,0,0,1.41531523866959
NA,1,1,1,0,0.912700508839974
NA,0,0,0,0,-0.287379186997921
NA,0,1,1,0,2.72142335028595
NA,0,0,1,1,-0.102277676431811
0,0,1,0,0,-0.152084423848101
NA,0,0,0,1,-0.228382073931468
NA,0,1,1,0,-0.296307671290011
NA,0,0,0,0,-1.32831095400668
NA,1,1,1,1,0.498761825882569
NA,1,1,1,0,0.141668899209442
NA,1,0,0,0,-0.31129626677317
1,1,1,0,0,-0.192709689724401
NA,1,1,1,1,0.513219242973907
NA,1,0,1,1,-0.274185109344057
NA,1,1,1,1,0.649485788296184
NA,0,0,0,0,2.68401897323479
NA,1,0,0,1,-0.711310715312436
NA,1,0,0,1,-0.518875776354008
NA,1,1,0,1,0.760364893233882
NA,0,0,1,0,-0.629068018428489
NA,0,0,1,0,-2.06201820109796
NA,1,1,1,0,0.442982009119061
NA,0,0,0,0,0.19528276070279
0,0,0,0,0,-1.66746155260615
NA,1,1,1,0,-0.920484278433347
NA,1,1,1,0,-0.161171534160855
NA,1,0,1,1,0.23897899065642
1,0,1,0,0,4.35306905478403
NA,1,1,1,1,0.272393542841416
NA,0,1,0,0,0.215556301295612
NA,1,0,1,0,-0.301268225957717
NA,1,1,1,0,-1.58842553833913
1,1,1,1,0,0.57466444657338
NA,1,1,0,0,-2.24797558204655
NA,0,0,0,0,0.0179266200764827
NA,0,0,0,1,1.68679730535511
NA,1,1,1,0,0.2833257573643
NA,1,1,1,1,0.467075523937645
NA,0,0,0,1,1.39332089834403
NA,1,1,1,1,0.573896755716042
NA,1,1,1,0,-0.222858941868249
0,0,0,1,0,-0.292611789736289
NA,0,0,0,0,-0.403998674296567
0,0,0,0,1,0.11194859680753
NA,1,1,1,0,-1.22137277430993
NA,0,0,0,0,0.446753357474449
NA,1,1,1,0,1.27526873573282
NA,0,0,0,0,-0.337535814596619
NA,0,1,1,0,0.923901658826872
0,0,0,0,0,0.287254260542953
NA,0,0,0,0,-2.46947836229315
NA,1,1,1,1,0.657159267909329
1,1,1,1,1,-0.406382808870869
NA,0,0,0,0,-0.173350052448935
NA,1,1,0,0,-0.820355747573083
NA,0,0,0,0,-2.02355517367555
NA,1,1,1,0,0.185970257600296
NA,0,0,0,0,0.701148933415963
NA,0,0,0,1,0.680745169596481
NA,1,1,1,0,0.444713773814786
NA,1,0,1,1,1.14539635494914
0,0,0,0,0,0.0895362010060315
NA,0,1,0,0,0.732078565786695
NA,0,0,0,0,-1.15323460310407
NA,0,0,0,0,-0.705765953796022
NA,0,0,0,0,-0.061204869596436
NA,0,0,0,1,-1.77442665303028
0,0,0,0,0,0.121378888829923
NA,0,0,0,1,-1.05150717393605
NA,0,0,0,1,-0.82569608260066
NA,1,1,1,1,-0.752807280702384
NA,1,1,0,1,0.269496720512899
NA,0,0,0,1,-0.254407159833225
0,0,0,0,0,-1.89138514467262
NA,1,1,1,1,-0.965478673301813
NA,0,1,0,1,-0.761510484285348
NA,0,1,1,0,-0.0791760025365634
NA,1,1,1,0,0.808318653133183
NA,0,0,0,1,0.0264461248736587
NA,0,0,0,1,-1.24762342420268
NA,1,0,0,0,-0.370666452030083
0,0,0,1,1,0.444132250589542
NA,0,1,1,0,0.825308976554479
NA,1,1,1,0,0.743906225757555
NA,0,0,0,1,-0.645082497349565
NA,0,0,0,0,-0.0363836309928206
NA,0,0,0,1,-0.940340821710164
NA,0,0,0,0,0.141964909409413
NA,1,0,0,0,-0.331498822874273
NA,0,0,0,0,-1.01457956331183
NA,0,0,0,1,0.0594022216919385
NA,0,0,0,1,0.018234661804975
NA,0,0,0,0,0.357776881735379
NA,1,1,1,0,0.65684413667377
NA,0,0,0,0,0.24298858075903
NA,1,0,1,0,0.310453633366494
NA,1,1,1,0,0.822590867055359
0,0,0,0,1,1.65318687818839
NA,0,0,0,1,-0.769608162981103
NA,1,1,1,0,1.19292642151767
NA,0,0,0,1,0.972817611991149
NA,0,0,0,0,-1.50881914556711
1,1,1,1,1,0.551523070900613
NA,0,1,1,1,-2.32842425786914
NA,0,0,0,0,-0.125198207942676
NA,0,0,1,1,-0.725314441509856
NA,0,0,1,0,-0.684386688216709
NA,0,0,1,1,1.3244568027761
NA,1,1,1,1,-0.0634505856126838
NA,1,1,1,1,2.47431087022979
NA,1,1,1,1,0.503865814895402
NA,0,1,0,1,-0.00701240280176848
NA,0,1,0,0,1.52987625150669
NA,0,0,0,1,-0.0887334813238997
NA,0,1,0,0,-0.215130116570052
NA,1,1,1,1,-2.01094130693506
0,0,0,0,0,1.66272170730031
NA,0,1,1,0,-0.589038842976599
NA,1,1,1,0,0.144552715620377
NA,0,0,0,0,-1.00327853950282
NA,0,0,1,1,0.0409466140427452
NA,0,0,0,0,-2.05717094810136
NA,0,0,0,1,-1.40969916465612
NA,0,0,1,0,-1.4915742780316
NA,0,1,0,0,0.367527911460771
NA,1,1,0,0,-1.07114759813716
NA,0,0,0,0,0.136500467334588
NA,1,0,0,1,-0.366264773213901
NA,1,0,1,1,2.07693024386107
NA,0,0,0,0,0.805886271592866
NA,0,0,0,0,0.201293870495067
NA,0,0,0,1,-1.16398642610823
NA,1,1,1,0,-0.26591779251969
NA,0,0,0,1,-0.622984661837968
1,1,0,1,0,1.33496432017018
NA,0,0,0,0,-1.70728139212612
NA,0,0,0,0,0.682097848684176
NA,0,0,0,0,0.733969294217796
NA,1,1,1,0,-0.639518901299968
NA,0,1,0,0,-0.981007107101199
NA,0,0,0,0,0.920434795447885
NA,0,0,0,0,-0.655138549865716
NA,0,1,0,0,0.448024652108243
NA,0,0,0,0,-1.54224374148588
NA,0,0,0,0,-0.502731423088332
NA,0,0,0,0,-0.132595436413069
NA,0,0,1,1,1.19932389693952
NA,0,0,0,0,-0.681526786225311
NA,0,0,0,0,0.388352034772995
NA,0,1,1,0,0.688118611566483
NA,1,1,1,0,-1.25052374268317
NA,0,1,0,0,-0.57520448570081
NA,1,1,1,0,0.344490631308772
NA,1,1,0,0,0.409050341522114
NA,1,1,1,0,1.15779742759299
NA,0,0,0,0,0.29940332681115
NA,1,0,1,0,0.811217997443449
1,1,1,1,1,-1.03348627026359
0,0,0,0,1,-0.12664582618518
NA,0,0,0,0,0.693207092660723
NA,1,0,1,0,-0.842550687377629
NA,1,1,0,0,-1.7506338357753
NA,1,0,1,0,2.17410305767959
0,1,0,0,0,-1.02489754702762
NA,0,0,1,1,-0.058166045211694
NA,0,0,0,1,1.5757248839458
NA,1,1,0,0,-0.470062022388322
NA,1,0,1,0,-0.00547527207973318
NA,0,0,0,1,-0.253460188549679
NA,0,0,0,0,0.353582635706403
NA,1,1,1,0,1.03347095905896
NA,1,0,1,0,-1.68823677816948
NA,0,0,1,0,0.559872961307788
NA,0,0,0,0,-0.213938767719155
NA,1,1,1,0,-0.529333606970479
0,0,0,1,0,-0.879454172511098
NA,1,1,1,0,0.0584551450233847
NA,0,0,0,1,-1.27996824329141
NA,1,1,1,1,-0.107659098694252
NA,0,1,1,1,1.11349179161127
NA,1,1,1,0,0.239113404879126
0,0,0,0,0,-0.348265237970316
NA,0,0,0,0,-0.428028280269432
NA,0,0,0,0,-0.31430372861354
NA,0,0,0,0,-0.075509111766298
NA,1,1,1,0,1.14934450841045
NA,0,0,0,1,0.281925887419891
NA,0,0,0,0,0.68250077667175
NA,1,0,1,0,-0.230162762876259
NA,0,0,0,0,-0.542585774574201
NA,0,0,0,1,1.50945904782844
NA,1,0,0,0,-0.562694750822209
NA,0,0,0,0,-0.00976647899717156
NA,0,1,1,0,0.0822755645264361
0,1,0,0,0,-0.798535596872573
NA,0,0,0,0,0.0641589715711098
NA,0,1,1,0,-0.158963272970502
NA,1,0,1,0,0.902624748136675
NA,1,1,1,0,0.192004394265337
NA,1,0,0,0,-1.82519679720462
NA,0,1,0,1,-1.30947218571889
0,1,1,0,1,-2.69185443812106
NA,1,0,0,0,-0.248141685753406
NA,1,1,1,0,0.89719502095475
0,1,0,0,1,0.780412310522479
NA,0,0,0,0,0.0147230016310027
NA,1,1,1,1,2.66156702842989
NA,1,0,0,0,0.555729102117844
0,0,0,0,0,0.275746670636786
NA,1,1,1,0,0.503421317832068
NA,1,1,1,1,0.0808273136779671
NA,1,1,1,1,0.838972241961125
NA,0,1,1,1,0.144696155660224
NA,0,0,0,0,-0.757257065322841
NA,0,1,0,1,0.0470868342513963
0,0,1,0,0,-0.280481529986134
NA,1,1,1,1,0.996167552846027
0,0,0,0,0,0.270742957716478
NA,0,0,1,0,0.266671891111078
1,1,1,1,0,1.77539534466504
NA,1,1,1,0,1.33727726041279
NA,0,1,0,1,-0.376149222761079
NA,0,0,0,0,-0.766379902031427
NA,0,0,1,0,-1.70426586403719
NA,0,1,1,0,-0.236127098020885
0,0,0,0,0,1.46880785028345
NA,1,1,1,0,0.291380419452009
NA,0,1,0,1,-0.46606580657129
NA,1,1,1,1,1.34830303956598
NA,1,1,1,1,-0.28025668347813
1,1,1,1,1,2.19579196446054
0,0,0,0,0,0.725069441905581
NA,0,0,1,1,-1.51753717478689
NA,0,0,0,1,0.463553334760946
NA,0,0,0,1,-2.05786881705935
NA,0,0,0,0,-2.71324924508361
NA,1,1,1,0,0.0723770230723938
NA,1,0,1,0,0.283387777099579
NA,1,1,1,0,-1.0063255214385
NA,0,1,0,0,1.35899647483299
NA,0,1,0,0,-2.27205908057849
NA,0,0,1,1,-0.168100149273885
NA,0,0,0,0,-0.361937226078937
NA,0,0,1,1,-0.0301106961977468
NA,1,1,1,1,-0.606914263966877
NA,1,1,1,0,1.75682279528653
NA,1,1,1,0,0.46351452104119
NA,0,0,0,0,-0.950193236599727
NA,0,0,1,0,-1.45631503685364
NA,1,1,1,0,-0.246566068397205
NA,0,1,0,1,0.4598371608334
NA,0,0,0,1,-0.147915861397103
